,arm_name ,metric_name ,mean ,sem ,trial_index ,arm_name   ,metric_name   ,mean   ,sem   ,trial_index   ,arm_name,metric_name,mean,sem,trial_index,parameters
0,0_0,objective,2.05,0.0,0,0_0,CD,0.343,0.0,0,0_0,XCP,0.5821463414634146,0.0,0,"{'XLE1': 1.579670488834381, 'XLE2': 3.1876392722129823, 'CHORD1_1': 0.2311523497104645, 'CHORD1_2': 0.057054791450500485, 'CHORD2_1': 0.2749271631240845, 'CHORD2_2': 0.0609840527176857, 'SSPAN1_2': 0.1393328458070755, 'SSPAN2_2': 0.19613901972770692, 'fidelity': 0}"
1,0_1,objective,2.556,0.0,0,0_1,CD,0.426,0.0,0,0_1,XCP,0.53,0.0,0,"{'XLE1': 1.4520167945884168, 'XLE2': 3.0885427726432684, 'CHORD1_1': 0.27232357356697323, 'CHORD1_2': 0.02185664710588753, 'CHORD2_1': 0.1476803220808506, 'CHORD2_2': 0.17040443536825478, 'SSPAN1_2': 0.22631889823824167, 'SSPAN2_2': 0.23134668301790953, 'fidelity': 1}"
2,0_2,objective,2.773,0.0,0,0_2,CD,0.461,0.0,0,0_2,XCP,0.6611219512195122,0.0,0,"{'XLE1': 1.3602870521135628, 'XLE2': 3.146727574616671, 'CHORD1_1': 0.16477577155455947, 'CHORD1_2': 0.07446588129736482, 'CHORD2_1': 0.24703950649127368, 'CHORD2_2': 0.22763731703162193, 'SSPAN1_2': 0.16306472886353732, 'SSPAN2_2': 0.2950931966304779, 'fidelity': 1}"
3,0_3,objective,2.025,0.0,0,0_3,CD,0.357,0.0,0,0_3,XCP,0.42019512195121955,0.0,0,"{'XLE1': 1.7340366798453033, 'XLE2': 3.045872879959643, 'CHORD1_1': 0.3386251957155765, 'CHORD1_2': 0.02801775380037725, 'CHORD2_1': 0.3256763815879822, 'CHORD2_2': 0.11824743845500052, 'SSPAN1_2': 0.25259313005954026, 'SSPAN2_2': 0.13332930486649275, 'fidelity': 0}"
4,0_4,objective,2.575,0.0,0,0_4,CD,0.435,0.0,0,0_4,XCP,0.6172195121951219,0.0,0,"{'XLE1': 1.630770888645202, 'XLE2': 3.118643840029836, 'CHORD1_1': 0.2969541986472905, 'CHORD1_2': 0.03599716016091406, 'CHORD2_1': 0.3654455385170877, 'CHORD2_2': 0.026664748322218657, 'SSPAN1_2': 0.18357315082103015, 'SSPAN2_2': 0.2639643644914031, 'fidelity': 1}"
5,0_5,objective,2.025,0.0,0,0_5,CD,0.345,0.0,0,0_5,XCP,0.3113658536585366,0.0,0,"{'XLE1': 1.2760031926445663, 'XLE2': 3.017691512964666, 'CHORD1_1': 0.1995695802383125, 'CHORD1_2': 0.08789863265119492, 'CHORD2_1': 0.2118130907416344, 'CHORD2_2': 0.13599435216747224, 'SSPAN1_2': 0.2945861266925931, 'SSPAN2_2': 0.10219322368502617, 'fidelity': 0}"
6,0_6,objective,2.098,0.0,0,0_6,CD,0.32,0.0,0,0_6,XCP,0.5781951219512195,0.0,0,"{'XLE1': 1.410717009101063, 'XLE2': 3.1720676973462107, 'CHORD1_1': 0.382117990218103, 'CHORD1_2': 0.008435035301372408, 'CHORD2_1': 0.11259466251358391, 'CHORD2_2': 0.1993612595833838, 'SSPAN1_2': 0.10632584933191538, 'SSPAN2_2': 0.1651645800098777, 'fidelity': 0}"
7,0_7,objective,2.278,0.0,0,0_7,CD,0.384,0.0,0,0_7,XCP,0.5470731707317074,0.0,0,"{'XLE1': 1.5584512739442289, 'XLE2': 3.0728735642507674, 'CHORD1_1': 0.1144818913191557, 'CHORD1_2': 0.049086512820795174, 'CHORD2_1': 0.31484622284770014, 'CHORD2_2': 0.0900011237245053, 'SSPAN1_2': 0.22182733807712793, 'SSPAN2_2': 0.200367284566164, 'fidelity': 1}"
8,0_8,objective,2.587,0.0,0,0_8,CD,0.411,0.0,0,0_8,XCP,0.5397073170731708,0.0,0,"{'XLE1': 1.5153387752361596, 'XLE2': 3.127706670574844, 'CHORD1_1': 0.3778756961226464, 'CHORD1_2': 0.08187430763617158, 'CHORD2_1': 0.16987423598766327, 'CHORD2_2': 0.10461125988513231, 'SSPAN1_2': 0.19353583846241235, 'SSPAN2_2': 0.25690119005739687, 'fidelity': 1}"
9,0_9,objective,1.885,0.0,0,0_9,CD,0.329,0.0,0,0_9,XCP,0.39146341463414636,0.0,0,"{'XLE1': 1.3915889072231948, 'XLE2': 3.026608216390014, 'CHORD1_1': 0.12106107790023089, 'CHORD1_2': 0.04096053186804056, 'CHORD2_1': 0.2573735303245485, 'CHORD2_2': 0.24519032728858292, 'SSPAN1_2': 0.278373452462256, 'SSPAN2_2': 0.12169221583753825, 'fidelity': 0}"
10,0_10,objective,1.807,0.0,0,0_10,CD,0.318,0.0,0,0_10,XCP,0.5378048780487805,0.0,0,"{'XLE1': 1.2957106516696513, 'XLE2': 3.1817046398296953, 'CHORD1_1': 0.31292447736486795, 'CHORD1_2': 0.053955813422799107, 'CHORD2_1': 0.3479816742241383, 'CHORD2_2': 0.18403788655996323, 'SSPAN1_2': 0.11667566765099764, 'SSPAN2_2': 0.15811642594635486, 'fidelity': 0}"
11,0_11,objective,2.262,0.0,0,0_11,CD,0.382,0.0,0,0_11,XCP,0.542,0.0,0,"{'XLE1': 1.6733650653623044, 'XLE2': 3.0827542416751386, 'CHORD1_1': 0.1859316163696349, 'CHORD1_2': 0.0017920433543622493, 'CHORD2_1': 0.2294506191276014, 'CHORD2_2': 0.04342828714288771, 'SSPAN1_2': 0.2052275063470006, 'SSPAN2_2': 0.21988196466118098, 'fidelity': 1}"
